Период, Ключевая ставка %, Реальный выпуск кв/кв ln(x/100), Индекс потребительских цен кв/кв ln(x/100), Номинальный курс кв/кв ln(x/100), Реальный курс кв/кв ln(x/100), Доля расходов бюджета в ВВП ln(x/100), Доходы бюджета кв/кв ln(x/100), Потребление домохозяйств кв/кв ln(x/100), Государственные закупки кв/кв ln(x/100), Валовые внутренние инвестиции кв/кв ln(x/100), Импорт кв/кв ln(x/100), Экспорт кв/кв ln(x/100), Уровень занятости кв/кв ln(x/100)
209Q4,7.0202275,-0.000730427,0.005313372,-0.008901634,0.00384684,-0.797566262,0.037769665,-0.058615631,0.042478055,0.000846968,0.018450223,0.060282609,-0.008686261
210Q1,6.994551899999999,-0.006325351,0.01386865,-0.183260316,-0.181890892,-0.791454319,0.056029293,-0.042574001,0.010705997,-0.028454231,-0.025463914,0.035983374,-0.026198937
210Q2,8.627031,0.009684688,0.022656299,-0.125589533,-0.128974329,-0.801155105,-0.003708504,-0.021504023,0.001414678,-0.034567179,-0.053294143,0.046876381,-0.036242481
210Q3,8.130224,0.011265616,0.006206223,0.098866718,0.10702602,-0.824674358,0.078663464,-0.055363362,0.027436804,0.00810657,-0.017659582,0.053852264,0.02434298
210Q4,5.1152340999999995,-0.01538436,0.004259552,0.03394544,0.042519564,-0.784486734,-0.024908812,-0.112063393,0.010399247,0.036383575,0.008083442,0.050445721,-0.029207574
211Q1,5.0894361,-0.014967707,0.015981945,-0.156080588,-0.159959234,-0.753169763,0.077928327,-0.090508952,0.019983786,0.021555413,0.004346366,0.024115654,-0.025302119
211Q2,5.6741338,-0.00275993,0.021458325,-0.266876959,-0.2798369,-0.755509922,0.151608764,-0.084524034,0.03511517,0.051255281,0.033797895,0.039439961,-0.043119692
211Q3,6.4583366,0.00720675,0.015554546,-0.021898333,-0.022702291,-0.752300462,-0.003970344,-0.058137432,0.043408466,0.055610473,0.046201364,0.039304527,-0.009906076
211Q4,6.0928676,-8.73E-05,0.01595157,-0.184761452,-0.180819256,-0.759796707,0.092307979,-0.093968805,0.041949081,0.026728493,-0.009342015,0.028793625,-0.016256475
212Q1,5.2238105,0.000186577,0.008348036,-0.098741965,-0.089095611,-0.75384703,0.044959518,-0.076288045,0.039689416,0.040511019,0.02476562,0.03622606,-0.043461496
212Q2,4.3848972,-0.012306265,0.01573919,0.029258715,0.033332382,-0.792479491,-0.063573805,-0.075127394,-0.005783681,0.020634259,-0.013526635,0.019063113,-0.071837793
212Q3,4.5970291,0.004772035,0.012765963,-0.035194784,-0.033417285,-0.784227775,0.089470452,-0.064622929,0.034689305,0.031937493,-0.004310966,0.01096111,-0.04245427
212Q4,4.6318608999999995,-0.007583845,0.014097048,-0.029436665,-0.024587173,-0.782064342,-0.095067712,-0.07098886,0.004749927,0.02968045,-0.013674863,0.000758233,-0.083254773
213Q1,3.4863825,-0.00319978,0.01077778,-0.126847976,-0.119847,-0.814787133,0.083549613,-0.079322306,0.020423723,0.038160257,-0.00700925,0.006129917,-0.044871971
213Q2,4.1453701,0.010452942,0.022579845,-0.353875347,-0.356243786,-0.730289477,0.057637235,-0.081394542,0.049696622,0.026733941,-0.037707575,-0.005317081,-0.068956094
213Q3,4.045567,0.00457861,0.009531022,0.170830681,0.177776165,-0.810791496,-0.116609144,-0.05950393,0.022234741,-0.001054996,-0.055126304,-0.005357173,-0.037024772
213Q4,2.4060816,-0.008532863,0.003489293,0.219190348,0.236083954,-0.820971319,-0.028959013,-0.094584134,0.01902439,0.036056055,-0.011857587,0.006287282,-0.042511561
214Q1,2.7032081,0.004841262,0.01569142,-0.250670423,-0.246920193,-0.767601934,0.164778553,-0.061412116,0.034613432,0.025033447,-0.006486316,0.014905985,-0.032276687
214Q2,2.285247,-0.00228828,0.010025023,0.153968522,0.160748944,-0.842765295,0.011026505,-0.051074804,0.018211619,0.046719215,0.030659148,0.014284881,-0.037111159
214Q3,2.2847652,-0.007623777,0.005806269,0.105785829,0.118059856,-0.831077749,0.085718887,-0.066141414,0.028070836,0.056561188,0.050207691,0.017068086,-0.029058498
214Q4,1.837418,-0.009209267,0.008250277,0.063044042,0.076104682,-0.837555788,0.091022106,-0.058081673,0.01809206,0.071817359,0.075823893,0.026590376,-0.054056701
215Q1,3.9701825000000004,0.001001829,0.022761847,0.108614705,0.106646423,-0.841182927,0.086422014,-0.010921754,0.000855378,0.041199539,0.046814732,0.024244977,-0.03137251
215Q2,5.340112100000001,0.023713797,0.018583807,0.107699952,0.107432637,-0.845659184,0.080056923,-0.012212334,0.018475841,0.04894275,0.02045502,0.038734082,0.011838737
215Q3,5.8131166,0.015030553,0.008037687,0.212818754,0.226976254,-0.83518931,-0.004108047,-0.026263011,0.023166052,0.060799677,0.049558245,0.045403979,0.004577863
215Q4,5.5512160999999995,0.01409892,0.008575992,0.087247518,0.09407637,-0.803624453,0.055844231,-0.033503852,0.034086339,0.072880391,0.074591712,0.057446913,-0.015412833
216Q1,6.033703399999999,0.02473009,0.018089412,0.184912047,0.186742932,-0.860180806,0.054513198,0.017753729,0.003581184,0.03851756,0.042196116,0.07013002,0.010309329
216Q2,7.603832100000001,0.040236007,0.01608988,0.125442486,0.128276009,-0.86263799,0.165919017,0.019632036,0.042110538,0.060172832,0.056926073,0.062772371,0.017523771
216Q3,8.8465079,0.046915916,0.016176961,0.238886471,0.24153276,-0.898702007,0.046288239,0.039022943,0.017877146,0.044042414,0.017598677,0.0575912,0.05705641
216Q4,9.424379,0.051328799,0.012127223,0.344648648,0.356061736,-0.924694385,0.036234758,0.01999164,-0.007544469,0.05798982,-0.011387498,0.070041934,0.007370088
217Q1,10.978409899999999,0.058595132,0.011390414,0.286357618,0.300006629,-0.91260837,-0.009632567,0.069398821,0.022797679,0.021363027,0.003964349,0.06824336,0.019720829
217Q2,9.849324900000001,0.048894165,0.006944142,0.392213808,0.4090581,-0.919411447,-0.027603108,0.064465,0.007258266,0.017702632,0.004042583,0.064458927,0.03210594
217Q3,8.9530176,0.031811421,0.003360349,0.155645278,0.174114612,-0.896082553,0.022861937,0.042775312,0.018278803,-0.000767255,0.015233937,0.064078488,0.042824552
217Q4,8.9351399,0.031762537,0.008393382,0.242496694,0.251000071,-0.883570164,0.044034528,0.029574914,0.016659883,0.014785333,0.012610628,0.055403991,0.023599125
218Q1,10.5914289,0.04099385,0.017415176,0.046556608,0.045653044,-0.869313299,0.128335136,0.079073289,0.016625432,-0.009425793,0.015246446,0.061562432,0.031902918
218Q2,11.4403564,0.055902879,0.010737108,0.381607526,0.390857856,-0.869521187,-0.105273802,0.070576546,0.01626184,0.012495162,0.002075438,0.077089354,0.027630539
218Q3,10.7423671,0.036167702,0.007641703,0.18949766,0.203951495,-0.849466827,-6.29E-05,0.054046714,0.002879347,-0.004087175,-0.006129137,0.05656266,0.020205512
218Q4,9.3502563,0.027665254,-0.000328693,0.247449087,0.271286811,-0.898202383,-0.055843499,0.082729226,-0.004235016,0.028772682,0.088859286,0.082855847,-0.012572869
219Q1,9.5268425,0.023201692,0.008907256,0.258205512,0.273861308,-0.892281635,-0.002605422,0.096190894,-0.004652704,0.04519994,0.12321204,0.070438964,0.008108015
219Q2,10.195693799999999,0.033001504,0.018342314,-0.176082786,-0.174253399,-0.834172269,0.182622106,0.102155678,0.026176392,0.009699199,0.092566469,0.070798469,0.023793383
219Q3,8.5720827,0.021455747,-0.002432465,0.370299382,0.390423316,-0.88485157,-0.17319161,0.064340507,0.003517286,0.022317708,0.07300351,0.06106802,0.048071377
219Q4,8.9602294,0.028391975,0.010284579,0.015780383,0.027254294,-0.853426009,0.114954036,0.081634373,0.002881892,-0.009222457,0.039230378,0.063558941,0.02651665
220Q1,8.351787,0.033298256,0.003705506,-0.015832315,-0.002034854,-0.844637694,0.044519805,0.077971451,0.033917406,0.010467741,0.063776218,0.051282063,0.031861046
220Q2,8.179632,0.017099789,0.00585835,0.229076768,0.240812113,-0.848022559,-0.069809362,0.067422683,-0.008965911,-0.010490896,0.04171988,0.062596571,0.02572605
220Q3,6.596916899999999,0.018680968,0.003324519,0.100050686,0.113108436,-0.881810632,0.00257627,0.052897148,-0.000289387,-0.013290075,0.03062899,0.067051436,-0.000817572
220Q4,5.9644478,0.01029148,0.003657654,0.181237195,0.194106534,-0.877104547,-0.014997597,0.047423826,-0.016571954,-0.002626701,0.040868986,0.061849196,0.00946377
221Q1,4.8520305,0.000198722,0.008174659,-0.197990406,-0.191787796,-0.854273386,0.006668056,0.047561487,-0.023340481,-0.012892339,0.045899332,0.055770061,-0.006354928
221Q2,6.7751829,0.026667526,0.021645346,-0.265160186,-0.270862934,-0.869237394,0.05407159,0.096424208,-0.016656896,-0.030711207,0.011540015,0.052878604,0.026972191
221Q3,8.4390682,0.035162212,0.018331532,-0.043888777,-0.043404334,-0.861554079,-0.098997836,0.074610225,-0.016266426,-0.025111845,-0.02061798,0.059931466,0.030495115
221Q4,7.8717501,0.031273732,0.00216122,-0.080234144,-0.06989446,-0.844432088,-0.138090594,0.078124753,-0.003725411,-0.025465168,0.001834681,0.057931568,0.04113627
222Q1,7.343337399999999,0.015351598,0.00187272,-0.127456766,-0.11479351,-0.821715035,-0.042769015,0.050334654,0.017731183,-0.017305465,0.060002406,0.087364572,0.032162475
222Q2,8.0525572,0.037403543,0.014429353,-0.32177613,-0.322284515,-0.827303112,0.053428792,0.124943556,0.006682453,-0.016692985,0.064433139,0.080686364,0.056488212
222Q3,8.3501069,0.059634786,0.011675111,-0.060740687,-0.053260085,-0.860769973,-0.001724451,0.129030213,0.031925136,-0.002977546,0.048534452,0.080286638,0.074162683
222Q4,7.0856969,0.03957081,0.009340005,0.100562191,0.111716554,-0.853516138,-0.05659872,0.095777621,0.027047543,-0.024276008,0.049350289,0.096609337,0.080575331
223Q1,7.881010400000001,0.033179187,0.006265966,0.005812416,0.017027098,-0.833415283,0.013834293,0.053320807,0.03259763,0.012093265,0.051510165,0.069321275,0.069807622
223Q2,7.4735821,0.02742555,0.014036258,-0.226177575,-0.222206674,-0.775792782,0.060544272,0.070170031,0.026760698,-0.047435869,0.013966604,0.070745699,0.072308048
223Q3,6.43567,0.021480325,0.005756163,-0.19250218,-0.178108651,-0.802429401,-0.044486118,0.018459264,0.008823313,-0.027799333,-0.03062094,0.046324248,0.046608429
223Q4,7.3509582,0.029830099,0.010509511,-0.141381266,-0.133397225,-0.778083789,0.0930024,0.052200902,0.046404735,-0.022793727,0.025763325,0.057423418,0.070212316
224Q1,5.2941459,-0.000922329,0.002722751,-0.076011283,-0.062567136,-0.753942971,-0.039475337,0.007179273,0.044980182,-0.001393167,0.076290563,0.049078714,0.051530588
224Q2,5.1998962,0.004364487,0.012684826,-0.252467105,-0.244829365,-0.770568913,0.193837325,0.034214802,0.036121399,0.029727984,0.11009988,0.040223751,0.035251127
224Q3,5.4988841,-0.001646725,0.013312135,-0.199204883,-0.192252898,-0.716624075,0.085254729,0.012782901,0.046896347,0.014504594,0.095724877,0.037973358,0.025547537
224Q4,6.3475459,-0.001432852,0.016399282,-0.097597791,-0.091508865,-0.740594219,0.129914496,0.023548738,0.043786869,0.016909513,0.105569778,0.037829095,0.026521899
225Q1,6.8730283000000005,0.014268498,0.014233944,-0.147133007,-0.142734318,-0.775913443,0.137136716,0.024047629,0.023036181,0.034777037,0.070912468,0.042835017,0.024521531
225Q2,6.8886430999999995,-0.001340986,0.016427398,-0.209425595,-0.204448829,-0.762609955,0.028375075,-0.010836161,0.014992214,-0.00840395,0.009321561,0.021020241,-0.004548296
225Q3,6.397987,-0.004006243,0.004382517,-0.043739185,-0.029144304,-0.770306599,-0.008744848,-0.025974311,0.004512727,0.004158634,0.005202192,0.019990356,-0.016559166
225Q4,4.048624599999999,-0.007981877,0.003678873,-0.085658116,-0.0706316,-0.774542667,0.015669909,-0.04315284,0.003338669,0.007512039,0.004046752,0.024927188,0.000895249
226Q1,1.7318763000000001,-0.042675502,0.000947946,-0.361953805,-0.33708174,-0.731438084,0.01718277,-0.047132994,0.000733387,-0.005961264,0.074850856,0.031229419,-0.02455059
226Q2,3.5217882,-0.00333643,0.01997977,-0.290740494,-0.289624468,-0.746937447,0.14064784,0.007646387,0.024955168,0.025286461,0.073329454,0.014158042,0.004500468
226Q3,2.3011846,-0.0046851,0.007511761,-0.179070564,-0.167630815,-0.751753467,0.043758228,-0.05361271,0.045682229,0.046947427,0.06344902,0.023120016,0.014989591
226Q4,3.9347799,0.012860481,0.022617871,-0.2139412,-0.221247096,-0.772429529,0.070705054,-0.001158048,0.006620317,0.034021121,0.019679878,0.017812486,0.013415021
227Q1,3.6501721000000003,0.009934071,0.009194678,-0.029944815,-0.021966397,-0.832663367,0.056577853,-0.028855256,0.020150318,0.046831934,0.028323912,0.022549146,0.001051195
